Price,Close,High,Low,Open,Volume
Ticker,YM=F,YM=F,YM=F,YM=F,YM=F
Date,,,,,
2021-08-20,35058.0,35120.0,34569.0,34847.0,161422
2021-08-23,35281.0,35373.0,35016.0,35031.0,120429
2021-08-24,35314.0,35403.0,35293.0,35328.0,94288
2021-08-25,35360.0,35445.0,35229.0,35326.0,109223
2021-08-26,35160.0,35441.0,35146.0,35384.0,144173
2021-08-27,35403.0,35428.0,35114.0,35182.0,113732
2021-08-30,35352.0,35464.0,35329.0,35418.0,109477
2021-08-31,35340.0,35492.0,35258.0,35395.0,141519
2021-09-01,35290.0,35494.0,35269.0,35382.0,138543
2021-09-02,35424.0,35463.0,35219.0,35295.0,128782
2021-09-03,35353.0,35504.0,35248.0,35425.0,144762
2021-09-07,35091.0,35476.0,35038.0,35352.0,198672
2021-09-08,35012.0,35161.0,34885.0,35067.0,189641
2021-09-09,34870.0,35192.0,34776.0,35009.0,181905
2021-09-10,34607.0,35113.0,34598.0,34872.0,135320
2021-09-13,34870.0,34935.0,34601.0,34647.0,110526
2021-09-14,34583.0,35021.0,34507.0,34916.0,83068
2021-09-15,34819.0,34885.0,34499.0,34596.0,45034
2021-09-16,34749.0,34942.0,34537.0,34850.0,32171
2021-09-17,34696.80078125,34838.0,34665.0,34743.0,186984
2021-09-20,33839.0,34413.0,33478.0,34400.0,310800
2021-09-21,33798.0,34236.0,33712.0,33806.0,237057
2021-09-22,34129.0,34319.0,33638.0,33761.0,217014
2021-09-23,34644.0,34749.0,34148.0,34153.0,189406
2021-09-24,34674.0,34734.0,34459.0,34650.0,151185
2021-09-27,34743.0,34934.0,34652.0,34696.0,147057
2021-09-28,34175.0,34852.0,34121.0,34733.0,277934
2021-09-29,34265.0,34451.0,34168.0,34239.0,212633
2021-09-30,33722.0,34554.0,33688.0,34322.0,236686
2021-10-01,34167.0,34354.0,33383.0,33752.0,221715
2021-10-04,33870.0,34293.0,33681.0,34230.0,240260
2021-10-05,34183.0,34364.0,33684.0,33890.0,194338
2021-10-06,34291.0,34326.0,33718.0,34208.0,260685
2021-10-07,34638.0,34854.0,34300.0,34300.0,163048
2021-10-08,34626.0,34750.0,34532.0,34641.0,160330
2021-10-11,34376.0,34829.0,34323.0,34614.0,179540
2021-10-12,34260.0,34486.0,34125.0,34356.0,197787
2021-10-13,34257.0,34343.0,33984.0,34190.0,200885
2021-10-14,34784.0,34853.0,34248.0,34248.0,165304
2021-10-15,35171.0,35198.0,34787.0,34830.0,155286
2021-10-18,35133.0,35227.0,34906.0,35210.0,137825
2021-10-19,35323.0,35365.0,35067.0,35121.0,128838
2021-10-20,35477.0,35541.0,35272.0,35355.0,122202
2021-10-21,35480.0,35536.0,35308.0,35448.0,131281
2021-10-22,35557.0,35645.0,35412.0,35476.0,175484
2021-10-25,35620.0,35670.0,35451.0,35499.0,138321
2021-10-26,35644.0,35777.0,35618.0,35641.0,177876
2021-10-27,35389.0,35715.0,35383.0,35646.0,185252
2021-10-28,35613.0,35681.0,35388.0,35423.0,156534
2021-10-29,35704.0,35746.0,35486.0,35636.0,156108
2021-11-01,35800.0,35891.0,35683.0,35796.0,136286
2021-11-02,35938.0,35971.0,35695.0,35797.0,120742
2021-11-03,36035.0,36066.0,35771.0,35921.0,134646
2021-11-04,36009.0,36076.0,35865.0,36027.0,133199
2021-11-05,36215.0,36375.0,35949.0,35999.0,172245
2021-11-08,36312.0,36446.0,36123.0,36132.0,116185
2021-11-09,36209.0,36324.0,36066.0,36289.0,144952
2021-11-10,35992.0,36255.0,35911.0,36166.0,173328
2021-11-11,35829.0,36063.0,35823.0,35982.0,119951
2021-11-12,36013.0,36062.0,35839.0,35870.0,126135
2021-11-15,36009.0,36178.0,35950.0,36059.0,124976
2021-11-16,36061.0,36238.0,35946.0,36023.0,139663
2021-11-17,35867.0,36105.0,35822.0,36074.0,133056
2021-11-18,35811.0,35961.0,35593.0,35841.0,151562
2021-11-19,35549.0,35988.0,35486.0,35826.0,172852
2021-11-22,35571.0,35880.0,35530.0,35592.0,198406
2021-11-23,35766.0,35793.0,35370.0,35620.0,220528
2021-11-24,35749.0,35790.0,35532.0,35762.0,149804
2021-11-26,34858.0,35900.0,34626.0,35778.0,307938
2021-11-29,35077.0,35246.0,34740.0,34741.0,251023
2021-11-30,34457.0,35234.0,34384.0,35132.0,294074
2021-12-01,34002.0,34986.0,33928.0,34524.0,281341
2021-12-02,34622.0,34738.0,34018.0,34050.0,288474
2021-12-03,34566.0,34795.0,34247.0,34715.0,269198
2021-12-06,35212.0,35344.0,34581.0,34590.0,229691
2021-12-07,35713.0,35807.0,35196.0,35251.0,173908
2021-12-08,35746.0,35926.0,35588.0,35780.0,154871
2021-12-09,35753.0,35859.0,35567.0,35745.0,137726
2021-12-10,35967.0,35992.0,35705.0,35749.0,129465
2021-12-13,35645.0,36123.0,35602.0,35975.0,107184
2021-12-14,35552.0,35785.0,35437.0,35680.0,63716
2021-12-15,35926.0,35969.0,35389.0,35551.0,50018
2021-12-16,35902.0,36204.0,35778.0,35936.0,36899
2021-12-17,35675.7890625,35978.0,35650.0,35958.0,271461
2021-12-20,34813.0,35328.0,34547.0,35253.0,220121
2021-12-21,35381.0,35413.0,34858.0,34907.0,168394
2021-12-22,35632.0,35662.0,35286.0,35405.0,110144
2021-12-23,35832.0,35946.0,35625.0,35647.0,91398
2021-12-27,36178.0,36206.0,35759.0,35831.0,91647
2021-12-28,36282.0,36408.0,36113.0,36180.0,115487
2021-12-29,36381.0,36463.0,36250.0,36278.0,94675
2021-12-30,36291.0,36572.0,36255.0,36394.0,85639
2021-12-31,36226.0,36371.0,36121.0,36296.0,76942
2022-01-03,36455.0,36472.0,36120.0,36304.0,158894
2022-01-04,36675.0,36804.0,36409.0,36432.0,175657
2022-01-05,36291.0,36832.0,36279.0,36656.0,243988
2022-01-06,36123.0,36418.0,36074.0,36309.0,266023
2022-01-07,36107.0,36265.0,35988.0,36173.0,218010
2022-01-10,35952.0,36171.0,35521.0,36121.0,268667
2022-01-11,36128.0,36153.0,35641.0,35948.0,220376
2022-01-12,36160.0,36332.0,36040.0,36131.0,175020
2022-01-13,35989.0,36390.0,35921.0,36179.0,217100
2022-01-14,35796.0,36114.0,35515.0,36002.0,256880
2022-01-18,35259.0,35901.0,35135.0,35856.0,322172
2022-01-19,34910.0,35430.0,34883.0,35301.0,296130
2022-01-20,34616.0,35379.0,34407.0,34953.0,272488
2022-01-21,34157.0,34782.0,34100.0,34556.0,335699
2022-01-24,34253.0,34410.0,33031.0,34143.0,465699
2022-01-25,34185.0,34472.0,33422.0,34294.0,340838
2022-01-26,34055.0,34699.0,33745.0,33969.0,319037
2022-01-27,34043.0,34658.0,33532.0,34071.0,329887
2022-01-28,34595.0,34622.0,33613.0,34240.0,315125
2022-01-31,34997.0,35026.0,34313.0,34576.0,234760
2022-02-01,35274.0,35316.0,34833.0,34915.0,209606
2022-02-02,35492.0,35590.0,35167.0,35232.0,222533
